tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
42,1.57,45,55,52,62,1.50,50,39,48,1.35,54,32,35,21,43,35,1.36,0.79,1.11,0.79,1.36,1.11,25,25,30,2.14,2.14,2.22,36,39,39,21,11,18,39,43,45,1.45,43,38,29,32,1.21,1.16,0.86,1.06,29,30,2.07,2.22,36,39,21,18,43,45,1.25,43,32,36,38,0.79,1.06,1.07,1.16,21,30,1.86,2.22,36,39,0,18,36,45,50,36,21,43,21,7,0,36,29,7,36,36,29,14,0 - 1,AC Ajaccio,Chateauroux,pmatch.asp?league=france2_2020&stats=212-5-10-2020,Fri 31 Jan
46,1.07,46,66,52,50,1.21,58,50,48,1.35,32,29,35,39,36,35,0.93,1.18,1.11,1.14,1.21,1.11,29,36,30,2.07,2.39,2.22,43,43,39,18,14,18,29,57,45,1.45,27,38,47,32,0.80,1.16,1.40,1.06,27,30,2.20,2.22,40,39,27,18,40,45,1.25,29,32,36,38,1.36,1.06,1.21,1.16,36,30,2.57,2.22,50,39,14,18,79,45,33,13,7,40,47,27,27,14,7,14,79,14,7,21,0 - 1,Chambly,Caen,pmatch.asp?league=france2_2020&stats=219-13-4-2020,Fri 31 Jan
48,1.71,60,56,52,58,0.79,62,47,48,1.35,50,14,35,21,61,35,1.25,0.75,1.11,0.89,1.54,1.11,29,25,30,2.14,2.29,2.22,36,43,39,18,25,18,46,39,45,1.45,50,38,29,32,1.50,1.16,1.00,1.06,21,30,2.50,2.22,43,39,29,18,50,45,1.25,14,32,50,38,0.93,1.06,1.43,1.16,36,30,2.36,2.22,50,39,29,18,50,45,21,21,36,50,29,29,7,21,0,29,50,50,29,29,3 - 1,Clermont,Orleans,pmatch.asp?league=france2_2020&stats=216-9-2-2020,Fri 31 Jan
54,1.50,50,42,52,35,0.86,39,60,48,1.35,36,29,35,32,36,35,1.43,1.11,1.11,1.18,1.07,1.11,32,36,30,2.61,2.18,2.22,46,36,39,25,29,18,54,46,45,1.45,36,38,21,32,1.43,1.16,1.00,1.06,43,30,2.43,2.22,36,39,14,18,64,45,1.25,21,32,57,38,0.86,1.06,1.29,1.16,21,30,2.14,2.22,29,39,29,18,36,45,21,21,29,64,14,14,0,14,7,0,36,57,50,14,1 - 0,Guingamp,Auxerre,pmatch.asp?league=france2_2020&stats=214-7-16-2020,Fri 31 Jan
50,1.57,47,40,52,43,1.64,51,62,48,1.35,39,54,35,21,18,35,1.36,1.39,1.11,0.89,0.86,1.11,39,29,30,2.25,2.25,2.22,43,39,39,21,21,18,50,43,45,1.45,36,38,14,32,1.29,1.16,0.71,1.06,50,30,2.00,2.22,29,39,21,18,50,45,1.25,43,32,21,38,1.43,1.06,1.07,1.16,36,30,2.50,2.22,43,39,21,18,57,45,43,29,21,50,21,7,7,29,14,29,57,29,14,29,0 - 0,Le Havre,Lens,pmatch.asp?league=france2_2020&stats=215-6-18-2020,Fri 31 Jan
69,1.29,53,38,52,29,0.71,41,65,48,1.35,25,21,35,57,21,35,1.07,0.96,1.11,1.61,0.93,1.11,18,57,30,2.68,1.89,2.22,54,32,39,21,4,18,50,61,45,1.45,36,38,43,32,1.14,1.16,1.21,1.06,21,30,2.36,2.22,50,39,14,18,57,45,1.25,0,32,29,38,0.79,1.06,1.21,1.16,71,30,2.00,2.22,29,39,7,18,71,45,36,21,21,57,21,7,0,14,0,0,71,29,14,14,1 - 1,Le Mans,Nancy,pmatch.asp?league=france2_2020&stats=217-17-1-2020,Fri 31 Jan
65,1.21,53,39,52,61,1.13,59,45,48,1.35,21,25,35,50,50,35,1.07,0.79,1.11,1.46,1.43,1.11,29,25,30,2.54,2.21,2.22,36,36,39,25,11,18,50,32,45,1.45,29,38,36,32,1.14,1.16,1.14,1.06,36,30,2.29,2.22,29,39,14,18,36,45,1.25,27,32,40,38,0.87,1.06,1.20,1.16,33,30,2.07,2.22,33,39,7,18,40,45,29,21,21,36,43,36,14,33,20,13,40,40,27,27,4 - 4,Niort,Paris FC,pmatch.asp?league=france2_2020&stats=218-11-20-2020,Fri 31 Jan
66,1.50,71,53,52,38,1.14,42,65,48,1.35,29,39,35,43,29,35,1.11,0.86,1.11,1.21,0.71,1.11,29,32,30,2.32,1.57,2.22,46,18,39,11,11,18,61,29,45,1.45,43,38,36,32,1.57,1.16,1.29,1.06,21,30,2.86,2.22,57,39,14,18,71,45,1.25,29,32,43,38,0.71,1.06,0.93,1.16,29,30,1.64,2.22,21,39,14,18,36,45,14,14,36,71,14,14,29,29,14,7,36,50,36,7,1 - 1,Rodez Aveyron,Valenciennes,pmatch.asp?league=france2_2020&stats=220-15-14-2020,Fri 31 Jan
49,1.79,59,68,52,51,1.29,52,55,48,1.35,57,25,35,32,25,35,1.21,0.96,1.11,0.89,1.04,1.11,11,50,30,2.11,2.00,2.22,39,32,39,11,21,18,43,54,45,1.45,57,38,36,32,1.43,1.16,1.21,1.06,7,30,2.64,2.22,64,39,14,18,64,45,1.25,29,32,29,38,1.00,1.06,1.14,1.16,43,30,2.14,2.22,36,39,21,18,50,45,29,29,36,64,7,7,29,43,21,14,50,29,7,21,1 - 2,Troyes,Grenoble,pmatch.asp?league=france2_2020&stats=213-12-8-2020,Fri 31 Jan
68,1.64,61,37,52,48,1.86,51,52,48,1.35,29,61,35,36,29,35,1.00,1.61,1.11,1.07,0.89,1.11,36,11,30,2.07,2.50,2.22,25,57,39,18,21,18,36,46,45,1.45,43,38,21,32,1.21,1.16,0.79,1.06,36,30,2.00,2.22,29,39,21,18,29,45,1.25,57,32,29,38,1.64,1.06,0.93,1.16,14,30,2.57,2.22,57,39,29,18,43,45,50,36,29,29,36,21,14,36,36,14,43,21,21,21,0 - 4,Sochaux,Lorient,pmatch.asp?league=france2_2020&stats=211-3-19-2020,Sat 1 Feb
49,1.21,48,45,52,50,1.57,53,60,48,1.35,25,39,35,25,21,35,0.96,1.36,1.11,1.04,0.89,1.11,50,39,30,2.00,2.25,2.22,32,43,39,21,21,18,54,50,45,1.45,21,38,21,32,0.93,1.16,0.93,1.06,57,30,1.86,2.22,29,39,21,18,57,45,1.25,43,32,29,38,1.43,1.06,1.07,1.16,29,30,2.50,2.22,57,39,21,18,50,45,29,7,21,57,36,14,14,29,21,29,50,29,21,29,1 - 1,Grenoble,Le Havre,pmatch.asp?league=france2_2020&stats=229-8-6-2020,Mon 3 Feb
65,1.57,61,40,52,52,1.86,40,44,48,1.35,29,50,35,36,21,35,1.11,1.25,1.11,1.07,0.89,1.11,36,29,30,2.18,2.14,2.22,36,36,39,29,18,18,46,46,45,1.45,36,38,14,32,1.36,1.16,0.86,1.06,50,30,2.21,2.22,43,39,29,18,57,45,1.25,50,32,14,38,1.00,1.06,0.79,1.16,36,30,1.79,2.22,29,39,7,18,43,45,36,14,21,57,29,7,14,43,29,0,43,29,14,7,0 - 0,Auxerre,Clermont,pmatch.asp?league=france2_2020&stats=227-16-9-2020,Tue 4 Feb
50,1.21,42,50,52,35,0.64,47,61,48,1.35,29,21,35,36,50,35,1.18,1.07,1.11,1.21,1.46,1.11,36,29,30,2.39,2.54,2.22,43,36,39,14,25,18,57,50,45,1.45,29,38,36,32,1.00,1.16,1.21,1.06,36,30,2.21,2.22,36,39,14,18,36,45,1.25,14,32,64,38,1.00,1.06,1.79,1.16,21,30,2.79,2.22,43,39,36,18,64,45,36,14,14,36,50,29,29,14,14,7,64,21,21,21,4 - 3,Caen,Niort,pmatch.asp?league=france2_2020&stats=224-4-11-2020,Tue 4 Feb
38,0.93,50,61,52,54,1.46,54,34,48,1.35,32,32,35,43,39,35,0.79,0.93,1.11,1.36,1.14,1.11,25,29,30,2.14,2.07,2.22,39,43,39,11,18,18,43,29,45,1.45,21,38,50,32,0.79,1.16,1.64,1.06,29,30,2.43,2.22,43,39,21,18,50,45,1.25,38,32,31,38,1.08,1.06,0.85,1.16,31,30,1.92,2.22,46,39,8,18,15,45,14,7,14,50,43,36,21,54,31,23,15,54,31,23,0 - 3,Chateauroux,Chambly,pmatch.asp?league=france2_2020&stats=226-10-13-2020,Tue 4 Feb
57,2.14,49,38,52,51,1.86,41,32,48,1.35,54,57,35,18,32,35,1.39,1.21,1.11,0.86,0.89,1.11,29,11,30,2.25,2.11,2.22,39,39,39,21,11,18,43,43,45,1.45,64,38,14,32,1.36,1.16,0.64,1.06,21,30,2.00,2.22,36,39,21,18,29,45,1.25,57,32,29,38,1.00,1.06,0.57,1.16,14,30,1.57,2.22,14,39,7,18,21,45,71,57,14,29,14,0,7,57,50,29,21,29,21,7,1 - 0,Lens,Troyes,pmatch.asp?league=france2_2020&stats=225-18-12-2020,Tue 4 Feb
