tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
71,0.63,59,45,50,52,1.53,52,54,50,1.38,13,44,38,81,31,38,0.55,1.69,1.34,1.77,1.16,1.34,6,25,23,2.32,2.84,2.67,45,50,49,13,31,26,39,53,48,1.34,19,37,75,40,0.63,1.34,1.56,1.33,6,23,2.19,2.67,38,49,12,26,38,48,1.43,41,40,29,37,1.65,1.33,1.18,1.34,29,23,2.82,2.67,53,49,29,26,59,48,12,12,6,38,50,50,38,29,24,29,59,18,12,41,1 - 3,Aston Villa,Everton,pmatch.asp?league=england&stats=188-17-15-2021,Sun 17 Jan
50,1.63,45,51,50,57,2.25,49,41,50,1.38,48,58,38,29,13,38,1.71,1.97,1.34,1.19,1.10,1.34,23,29,23,2.90,3.06,2.67,52,58,49,32,45,26,52,58,48,1.34,50,37,38,40,1.50,1.34,1.19,1.33,12,23,2.69,2.67,56,49,25,26,50,48,1.43,62,40,0,37,1.88,1.33,0.88,1.34,38,23,2.75,2.67,56,49,50,26,62,48,19,12,44,50,38,31,12,38,12,44,62,25,0,19,0 - 0,Sheffield Utd,Tottenham,pmatch.asp?league=england&stats=186-9-2-2021,Sun 17 Jan
51,2.24,55,65,50,47,1.20,52,52,50,1.38,72,32,38,12,42,38,2.09,1.06,1.34,0.72,1.68,1.34,16,26,23,2.81,2.74,2.67,44,48,49,31,29,26,41,48,48,1.34,71,37,18,40,2.18,1.34,0.88,1.33,12,23,3.06,2.67,47,49,29,26,41,48,1.43,33,40,47,37,1.13,1.33,1.80,1.34,20,23,2.93,2.67,60,49,33,26,53,48,53,53,47,41,6,6,24,7,0,27,53,47,40,27,4 - 0,Liverpool,Manchester Utd,pmatch.asp?league=england&stats=187-3-7-2021,Sun 17 Jan
47,1.40,42,51,50,47,0.94,41,51,50,1.38,42,26,38,39,48,38,1.39,1.03,1.34,1.13,1.65,1.34,19,26,23,2.52,2.68,2.67,58,48,49,23,19,26,45,55,48,1.34,40,37,40,40,1.20,1.34,1.20,1.33,20,23,2.40,2.67,60,49,13,26,47,48,1.43,25,40,56,37,0.81,1.33,1.63,1.34,19,23,2.44,2.67,31,49,12,26,31,48,20,7,27,47,47,33,7,25,19,6,31,50,44,31,3 - 0,Manchester City,Crystal Palace,pmatch.asp?league=england&stats=181-6-12-2021,Sun 17 Jan
56,1.94,57,51,50,42,0.67,57,44,50,1.38,52,16,38,26,55,38,1.65,0.90,1.34,1.26,1.90,1.34,23,29,23,2.90,2.81,2.67,65,48,49,32,29,26,58,42,48,1.34,56,37,19,40,1.81,1.34,1.25,1.33,25,23,3.06,2.67,62,49,38,26,62,48,1.43,13,40,60,37,1.07,1.33,1.73,1.34,27,23,2.80,2.67,40,49,20,26,60,48,31,31,38,62,6,6,12,7,0,20,60,40,33,33,2 - 1,Arsenal,Newcastle Utd,pmatch.asp?league=england&stats=177-11-13-2021,Mon 18 Jan
39,1.47,45,57,50,52,1.75,46,48,50,1.38,55,48,38,29,23,38,1.77,1.61,1.34,1.19,1.00,1.34,16,29,23,2.97,2.61,2.67,58,45,49,29,32,26,52,42,48,1.34,47,37,47,40,1.67,1.34,1.40,1.33,7,23,3.07,2.67,60,49,40,26,40,48,1.43,50,40,25,37,1.44,1.33,0.94,1.34,25,23,2.38,2.67,44,49,25,26,44,48,33,33,27,40,27,27,40,44,31,31,44,25,12,6,2 - 0,West Ham Utd,West Brom,pmatch.asp?league=england&stats=175-14-20-2021,Tue 19 Jan
51,2.24,55,65,50,55,1.50,47,42,50,1.38,72,43,38,12,40,38,2.09,1.43,1.34,0.72,1.10,1.34,16,17,23,2.81,2.53,2.67,44,50,49,31,17,26,41,40,48,1.34,71,37,18,40,2.18,1.34,0.88,1.33,12,23,3.06,2.67,47,49,29,26,41,48,1.43,44,40,38,37,1.25,1.33,0.88,1.34,19,23,2.13,2.67,44,49,6,26,38,48,53,53,47,41,6,6,24,50,44,25,38,19,12,12,2 - 0,Leicester City,Chelsea,pmatch.asp?league=england&stats=2-3-4-2021,Tue 19 Jan
38,0.59,38,57,50,57,2.25,49,41,50,1.38,16,58,38,50,13,38,0.75,1.97,1.34,1.31,1.10,1.34,34,29,23,2.06,3.06,2.67,34,58,49,12,45,26,41,58,48,1.34,12,37,65,40,0.53,1.34,1.41,1.33,24,23,1.94,2.67,41,49,6,26,29,48,1.43,62,40,0,37,1.88,1.33,0.88,1.34,38,23,2.75,2.67,56,49,50,26,62,48,29,12,6,29,59,41,29,38,12,44,62,25,0,19,1 - 2,Manchester City,Aston Villa,pmatch.asp?league=england&stats=173-5-2-2021,Wed 20 Jan
50,1.63,45,51,50,45,1.00,48,57,50,1.38,48,26,38,29,45,38,1.71,0.81,1.34,1.19,1.35,1.34,23,29,23,2.90,2.16,2.67,52,35,49,32,19,26,52,39,48,1.34,50,37,38,40,1.50,1.34,1.19,1.33,12,23,2.69,2.67,56,49,25,26,50,48,1.43,27,40,53,37,0.80,1.33,1.60,1.34,20,23,2.40,2.67,47,49,33,26,27,48,19,12,44,50,38,31,12,40,20,13,27,53,33,40,0 - 1,Fulham,Manchester Utd,pmatch.asp?league=england&stats=179-9-1-2021,Wed 20 Jan
45,1.43,53,58,50,47,0.94,41,51,50,1.38,43,26,38,40,48,38,1.43,1.03,1.34,1.10,1.65,1.34,17,26,23,2.53,2.68,2.67,50,48,49,17,19,26,40,55,48,1.34,43,37,43,40,1.64,1.34,1.36,1.33,14,23,3.00,2.67,57,49,29,26,43,48,1.43,25,40,56,37,0.81,1.33,1.63,1.34,19,23,2.44,2.67,31,49,12,26,31,48,43,29,14,43,29,14,29,25,19,6,31,50,44,31,2 - 0,Liverpool,Burnley,pmatch.asp?league=england&stats=103-4-12-2021,Thu 21 Jan
