tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
48,1.46,40,26,59,31,0.27,50,59,41,1.37,39,11,37,36,75,37,1.50,0.79,1.26,0.96,2.07,1.26,25,14,25,2.46,2.86,2.52,46,57,47,21,29,25,43,43,48,1.69,38,48,31,27,1.31,1.49,0.54,1.03,31,25,1.85,2.52,23,47,8,25,23,48,1.06,0,27,73,48,0.73,1.03,2.27,1.49,27,25,3.00,2.52,73,47,33,25,47,48,46,31,23,23,46,31,0,7,0,13,47,53,47,60,3 - 0,Lyon,Toulouse,pmatch.asp?league=france_2020&stats=203-16-12-2020,Sun 26 Jan
54,1.43,39,35,59,54,1.33,52,65,41,1.37,39,32,37,46,32,37,1.00,1.43,1.26,1.11,1.21,1.26,14,36,25,2.11,2.64,2.52,36,43,47,14,29,25,39,61,48,1.69,43,48,43,27,0.79,1.49,0.79,1.03,14,25,1.57,2.52,29,47,7,25,29,48,1.06,33,27,33,48,1.40,1.03,1.47,1.49,33,25,2.87,2.52,47,47,33,25,73,48,50,36,7,29,36,21,14,13,13,27,73,13,13,13,0 - 1,Nantes,Bordeaux,pmatch.asp?league=france_2020&stats=209-6-14-2020,Sun 26 Jan
71,2.33,69,33,59,46,2.38,41,54,41,1.37,54,81,37,32,11,37,1.25,2.78,1.26,0.96,0.89,1.26,14,7,25,2.21,3.67,2.52,43,70,47,7,52,25,39,44,48,1.69,73,48,13,27,1.60,1.49,0.60,1.03,13,25,2.20,2.52,53,47,7,25,33,48,1.06,77,27,15,48,2.38,1.03,1.00,1.49,8,25,3.38,2.52,69,47,38,25,62,48,60,53,53,33,13,7,13,38,38,54,62,0,0,23,0 - 2,Lille,Paris SG,pmatch.asp?league=france_2020&stats=202-5-3-2020,Sun 26 Jan
58,2.07,66,58,59,46,1.21,61,65,41,1.37,54,39,37,29,46,37,1.36,1.00,1.26,0.86,1.11,1.26,18,14,25,2.21,2.11,2.52,39,36,47,18,14,25,46,39,48,1.69,64,48,21,27,1.79,1.49,1.00,1.03,14,25,2.79,2.52,64,47,29,25,64,48,1.06,36,27,50,48,1.21,1.03,1.43,1.49,14,25,2.64,2.52,43,47,21,25,50,48,21,14,50,64,21,14,7,21,21,21,50,29,29,21,3 - 2,Rennes,Nantes,pmatch.asp?league=france_2020&stats=213-2-6-2020,Fri 31 Jan
54,2.64,59,46,59,20,0.57,26,71,41,1.37,81,39,37,11,36,37,2.78,1.25,1.26,0.89,1.21,1.26,7,25,25,3.67,2.46,2.52,70,50,47,52,29,25,44,43,48,1.69,86,48,7,27,3.14,1.49,0.79,1.03,7,25,3.93,2.52,71,47,64,25,29,48,1.06,7,27,57,48,0.64,1.03,1.71,1.49,36,25,2.36,2.52,43,47,29,25,43,48,64,64,50,29,7,7,21,7,0,0,43,57,50,36,5 - 0,Paris SG,Montpellier,pmatch.asp?league=france_2020&stats=211-3-1-2020,Sat 1 Feb
61,1.00,55,46,59,31,0.27,50,59,41,1.37,14,11,37,46,75,37,1.11,0.79,1.26,1.79,2.07,1.26,39,14,25,2.89,2.86,2.52,61,57,47,36,29,25,68,43,48,1.69,21,48,43,27,1.21,1.49,1.64,1.03,36,25,2.86,2.52,57,47,36,25,64,48,1.06,0,27,73,48,0.73,1.03,2.27,1.49,27,25,3.00,2.52,73,47,33,25,47,48,21,14,21,64,21,14,21,7,0,13,47,53,47,60,0 - 0,Amiens,Toulouse,pmatch.asp?league=france_2020&stats=220-10-12-2020,Sat 1 Feb
69,1.80,71,39,59,46,1.36,54,67,41,1.37,39,36,37,39,25,37,1.00,0.93,1.26,1.18,0.75,1.26,21,39,25,2.18,1.68,2.52,36,14,47,21,7,25,32,36,48,1.69,53,48,27,27,1.33,1.49,0.87,1.03,20,25,2.20,2.52,27,47,20,25,33,48,1.06,36,27,36,48,1.00,1.03,1.00,1.49,29,25,2.00,2.52,14,47,7,25,36,48,47,40,7,33,27,20,13,29,29,14,36,36,36,7,1 - 4,Angers,Reims,pmatch.asp?league=france_2020&stats=215-13-8-2020,Sat 1 Feb
80,1.71,74,41,59,29,0.71,38,70,41,1.37,25,29,37,43,36,37,0.96,1.21,1.26,1.32,1.32,1.26,32,36,25,2.29,2.54,2.52,46,46,47,18,29,25,46,46,48,1.69,43,48,14,27,1.43,1.49,1.07,1.03,43,25,2.50,2.52,57,47,21,25,57,48,1.06,14,27,57,48,0.93,1.03,1.86,1.49,29,25,2.79,2.52,57,47,36,25,43,48,36,21,36,57,21,7,21,14,7,14,43,50,43,36,3 - 0,Dijon,Brest,pmatch.asp?league=france_2020&stats=216-17-11-2020,Sat 1 Feb
74,1.43,59,34,59,35,1.00,34,50,41,1.37,25,39,37,54,36,37,1.04,1.57,1.26,1.57,1.57,1.26,21,25,25,2.61,3.14,2.52,54,68,47,32,43,25,46,64,48,1.69,43,48,43,27,1.21,1.49,1.07,1.03,14,25,2.29,2.52,36,47,21,25,36,48,1.06,21,27,43,48,1.07,1.03,1.57,1.49,36,25,2.64,2.52,64,47,29,25,64,48,36,36,29,36,29,29,14,21,7,14,64,29,14,36,3 - 1,Nimes,Monaco,pmatch.asp?league=france_2020&stats=217-4-15-2020,Sat 1 Feb
63,1.85,69,44,59,29,1.08,31,67,41,1.37,41,54,37,41,32,37,1.19,1.25,1.26,1.19,0.96,1.26,19,14,25,2.37,2.21,2.52,44,43,47,22,7,25,37,39,48,1.69,54,48,23,27,1.69,1.49,1.08,1.03,23,25,2.77,2.52,62,47,23,25,62,48,1.06,31,27,54,48,0.85,1.03,1.38,1.49,15,25,2.23,2.52,31,47,8,25,46,48,31,23,31,62,15,8,23,23,23,8,46,31,31,8,1 - 2,Strasbourg,Lille,pmatch.asp?league=france_2020&stats=219-19-5-2020,Sat 1 Feb
